Subject,Start Date,End Date,All day event,Description,Location
"Things with Form\, Things without Form opens",6/9/2023,6/9/2023,true,"Admission 0 yen","2F 5Bldg. Tokyo Polytechnic University\, 2-4-7 Honcho\, Nakano-ku\, Tokyo 164-8678"
"Mami Anai 'Glass Garden' opens",6/29/2023,6/29/2023,true,"Admission 0 yen","3-7-4 Kiyosumi\, Koto-ku\, Tokyo\, 135-0024"
"Hiroyuki Yamada 'Cave340' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","2-17-14 Minami-Aoyama\, Minato-ku\, Tokyo 107-0062"
"Motoki Hitomi 'In the Forest of Ido' opens",7/1/2023,7/1/2023,true,"Admission 0 yen","2F 6-2-6 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Flotsam Zines Tour & Bring Artist-Own Vinyl Day opens",6/30/2023,6/30/2023,true,"Admission 0 yen","201 CCP Bldg.\, 1-9-2 Kuromatsu\, Izumi-ku\, Sendai-shi\, Miyagi 981-8006"
"Craft Art Selection IV - Full of Flowers Vol. II opens",6/29/2023,6/29/2023,true,"Admission Adults ¥310; Seniors 65 & Over\, Persons with Disability Certificates + 1 Companion ¥210; High School Students and Under free. yen","3-2-29 Hondamachi\, Kanazawa-shi\, Ishikawa 920-0964"
"Mizunoki Museum Collection 2023 Period 1 opens",6/23/2023,6/23/2023,true,"Admission undefined yen","18 Kitamachi\, Kameoka-shi\, Kyoto 621-0861"
"Taiwan-Japan Exchange Exhibition 2023 opens",6/21/2023,6/21/2023,true,"Admission 0 yen","4-7-12 Kotobuki Taito-ku\, Tokyo 111-0042"
"Keio University SFC Art Festival 2023 opens",7/1/2023,7/1/2023,true,"Admission undefined yen","5322 Endo\, Fujisawa-shi\, Kanagawa 252-0882"
"Nagare / Irodoru - The World of Sumi Ink opens",7/1/2023,7/1/2023,true,"Admission Adults ¥200\, University Students and Seniors 65 & Over ¥100\, High School Students and Under free. Special Exhibition Fees may be charged separately. yen","2-9-1 Koyo-cho Naka\, Higashi Nada-ku\, Kobe-shi\, Hyogo 658-0032"
"Shiori Ota 'Giant Pink Star' opens",6/30/2023,6/30/2023,true,"Admission 0 yen","#405 Agata Takezawa Bldg.\, 1-2-11 Higashi Kanda\, Chiyoda-ku\, Tokyo 101-0031"
"Charles Munka 'Tameshigaki (lignes de vies)'  opens",6/30/2023,6/30/2023,true,"Admission 0 yen","F 1F / B1F Hillside Terrace\, 18-8 Sarugaku-cho\, Shibuya-ku\, Tokyo 150-0033"
"Hirofumi Katayama 'Making Sheep' opens",6/30/2023,6/30/2023,true,"Admission 0 yen","4F Piramide Bldg.\, 6-6-9 Roppongi\, Minato-ku\, Tokyo 106-0032"
"Designing Danbaul & Dungen - Exploring the Design for Play opens",6/30/2023,6/30/2023,true,"Admission 0 yen","137 Iwakura Kino-cho\, Sakyo-ku\, Kyoto-shi\, Kyoto 606-8588"
"Summer Solstice - Crafts in Daily Life opens",6/30/2023,6/30/2023,true,"Admission 0 yen","31-13 Yokoteramachi\, Shinjuku-ku\, Tokyo 162-0831"
"Charles Munka 'Tameshigaki (lignes de vies)' opens",6/30/2023,6/30/2023,true,"Admission undefined yen","B1F\, 28-8 Maruyama-cho\, Shibuya-ku\, Tokyo 150-0044"
"Opening Selection - Bright\, Calm\, Dark Vol. 2 Calm opens",6/29/2023,6/29/2023,true,"Admission 0 yen","8F Shibuya Hikarie\, 2-21-1 Shibuya\, Shibuya-ku\, Tokyo 150-0002"
"Featured Exhibition: Adoration of Bamboo opens",6/29/2023,6/29/2023,true,"Admission Adults ¥300; University and High School Students ¥200; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","2-1 Kotobuki-Machi\, Oita-shi\, Oita 870-0036"
"Collection Exhibition Ⅱ: My Favorite Things - Artists’ Favorites opens",6/29/2023,6/29/2023,true,"Admission Adults ¥300; University and High School Students ¥200; Junior High School Students and Under\, Persons with Disability Certificates + 1 Companion free. Special Exhibition Fees may be charged separately. yen","2-1 Kotobuki-Machi\, Oita-shi\, Oita 870-0036"
"Nobuyuki Takahashi 'El Cant dels Ocells' opens",6/29/2023,6/29/2023,true,"Admission 0 yen","1F West\, Tokyo Midtown\, 9-7-3 Akasaka\, Minato-ku\, Tokyo 107-0052"
"Special Presentation “A Phantom’s Journey into the Ancient History of Eurasia” opens",6/27/2023,6/27/2023,true,"Admission 0 yen","2F\, 3F JP Tower 2-7-2 Marunouchi\, Chiyoda-ku\, Tokyo 100-7003"
"An Artistic Journey Around the Lake Country opens",6/25/2023,6/25/2023,true,"Admission Adults ¥540; University and High School Students ¥340; Junior High School Students and Under\, Seniors 65 & Over residing in Shiga\, Persons with Disability Certificates free. Special Exhibition Fees may be charged separately. yen","1740-1 Setaminamiogayacho\, Otsu-shi\, Shiga 520-2122"
"Yunosuke 'Far Coast' opens",6/24/2023,6/24/2023,true,"Admission 0 yen","2F\, 11-40 Onarimachi\, Kamakura-shi\, Kanagawa 248-0012"
"David McKee ''Elmer the Patchwork Elephant' Picture Book Exhibition' opens",6/24/2023,6/24/2023,true,"Admission [Permanent Exhibition] Adults ¥310\, University and High School Students ¥210\, Junior High and Elementary School Students ¥100\, Persons with Disability Certificates + 1 Companion. Special Exhibition Fees may be charged separately. yen","84 Yamanoi-cho\, Himeji-shi\, Hyogo 670-0021"
"Eriko Yano 'Correct Visitor' opens",6/23/2023,6/23/2023,true,"Admission 0 yen","1F\, 2-17-1\, Konan\, Naka-ku\, Hiroshima-shi\, Hiroshima 730-0825"
"Yoshihito Muta Exhibition opens",6/20/2023,6/20/2023,true,"Admission 0 yen","4F Shinjuku Q Bldg.\, 3-8-9 Shinjuku\, Shinjuku-ku\, Tokyo 160-0022"
"Hideo Mikami 'Composition with Color Planes - Coplanar Depth' opens",6/20/2023,6/20/2023,true,"Admission 0 yen","1F\, 6-22 Otemachi\, Aoba-ku\, Sendai-shi\, Miyagi 980-0805"
"Yuka Umino Exhibition opens",6/20/2023,6/20/2023,true,"Admission 0 yen","2F The Imperial Hotel Plaza\, 1-1-1 Uchisaiwai-cho\, Chiyoda-ku\, Tokyo 100-0011"
